123108115	DASHA_MOO	
158041584	ezemtsov	буквально колокол на голове👍
123108115	DASHA_MOO	
102788280	temamoo	Класс :)
267746042	Ivan_Horoshist	
267746042	Ivan_Horoshist	http://www.thg.ru/technews/20171223_121400.html
158041584	ezemtsov	тамар не кори себя, мы все полны планов, просто многие этого не осознают
282449423	voayagen1	Вот ты все, приглашаешь, когда я уже полна планов. Ну ничего, наступит день!
158041584	ezemtsov	пиши 🙂
267746042	Ivan_Horoshist	Привет :)) мне ща нужно на дачу съездить и отвезти диван и через часика три я омвобожусь
158041584	ezemtsov	"Если утро наступает в три -
Через два часа уже зажгут фонари.
Уже кончился день, а я только встал,
А я только что встал и уже устал"
158041584	ezemtsov	я только проснулся на кожухе и голоден до приключений
158041584	ezemtsov	кто сегодня сегодня в москве и кутит?
127122868		Окстись!
158041584	ezemtsov	воспитатель брю 24
158041584	ezemtsov	охохохохо
158041584	ezemtsov	
158041584	ezemtsov	кругом обман
158041584	ezemtsov	не было такого
158041584	ezemtsov	утка с фейсбука же
267746042	Ivan_Horoshist	
158041584	ezemtsov	😘
102788280	temamoo	Это автостанция :)
145144954		Женя, угораем под эту песню в Тае
145144954		
158041584	ezemtsov	развлекайтесь там, слишком много не свингерствуйте, а то завидно же
158041584	ezemtsov	с этой частью я справился😃
102788280	temamoo	Это мы встретились :)
158041584	ezemtsov	а миша как будто со стадиона и не ушёл
158041584	ezemtsov	дашка уже мадам гриль
158041584	ezemtsov	это тайский кинотеатр?🙂
102788280	temamoo	
102788280	temamoo	
158041584	ezemtsov	мимими
102788280	temamoo	
123108115	DASHA_MOO	Снег О_о
123108115	DASHA_MOO	Офигенно!
267746042	Ivan_Horoshist	все только спустя сутки переварили новость))
158041584	ezemtsov	
145144954		
282449423	voayagen1	Остановите планету, Вите надо выйти
102788280	temamoo	
267746042	Ivan_Horoshist	https://tjournal.ru/63713
267746042	Ivan_Horoshist	Окей, напиши как будешь на месте :)
158041584	ezemtsov	еду
158041584	ezemtsov	может загляну
267746042	Ivan_Horoshist	Будет) начало в 22
158041584	ezemtsov	а треш и угар будет?
158041584	ezemtsov	@Ivan_Horoshist подумываю подкатить, во сколько начало?
267746042	Ivan_Horoshist	Завтра Саша Кабаленов день рождения проазднует вот тут: https://www.facebook.com/events/309115036251693/ ,  я там буду)
158041584	ezemtsov	господа московские, я в москве. в субботу поздно вечером/воскресенье готов на любые совместные подвиги, пишите
158041584	ezemtsov	@temamoo
158041584	ezemtsov	
233654922		😍😍😍
158041584	ezemtsov	
158041584	ezemtsov	https://youtu.be/SI1J2bbbOt4
158041584	ezemtsov	http://money.visualcapitalist.com/worlds-money-markets-one-visualization-2017/
158041584	ezemtsov	
158041584	ezemtsov	да прибудут пельмени
158041584	ezemtsov	
158041584	ezemtsov	никогда не поздно сэкономить
127122868		Я не успел сэкономить, а он ушел(((
158041584	ezemtsov	🤗
158041584	ezemtsov	
267746042	Ivan_Horoshist	))))))
158041584	ezemtsov	
158041584	ezemtsov	
267746042	Ivan_Horoshist	Вероятно. Яндекс сначала агрегатор каршеринга запилил. Видимо проанализировали данные и после этого принял решение)
145144954		Неужели это все таки прибыльный бизнес?
267746042	Ivan_Horoshist	"«Яндекс» анонсировал запуск собственного каршеринга «Яндекс.Драйв». 

— запуск в феврале 2018 года, до этого можно копить бонусы с помощью поездок на «Яндекс.Такси»,

— компания предложит машины Renault Kaptur, Kia Rio и Kia Rio X-Line,

— тарифы не разглашаются,

— по слухам, «Яндекс» выведет в Москву около пяти тысяч машин. К августу 2017 года у всех московских каршерингов было 2,5 тысячи машин. Столичные власти считают, что городу хватит 10-15 тысяч каршеринговых автомобилей https://vc.ru/30338"
158041584	ezemtsov	впрочем доказательств что это олень - нет, приходится верить на слово
158041584	ezemtsov	на бефстроганов
233654922		На что он похож? 🙈
158041584	ezemtsov	*тот самый момент когда ты особенно чувствуешь себя в скандинавии*
158041584	ezemtsov	у нас на обед олень 🦌
158041584	ezemtsov	https://youtu.be/xSGnzbGcCDg
158041584	ezemtsov	
267746042	Ivan_Horoshist	This module is like violence: if it doesn’t work, you just need more of it. Как мило))
145144954		Очевидно же, когда в ящик сыграет
102788280	temamoo	Когда уже портрет Пу будет на купюрах?
145144954		Тока поменьше)
127122868		Как евро)
127122868		Круть
233654922		Прикольные! Яркие 🌟
145144954		
158041584	ezemtsov	https://pypi.python.org/pypi/fuckit
158041584	ezemtsov	балкончик есть?😃
102788280	temamoo	Поселились на 68 этаже
158041584	ezemtsov	🧛‍♂️
158041584	ezemtsov	мош жолжен
102788280	temamoo	Подъезжаем к отелю
158041584	ezemtsov	Миня никто не приглашал 😐
102788280	temamoo	https://t.me/joinchat/AAAAAFEIDuLMQWHWAwkeZg
145144954		Тогда мош жолжен добавить
158041584	ezemtsov	Там наверное можно только взрослым
158041584	ezemtsov	Зис чэннэл из приват
267746042	Ivan_Horoshist	ад электрика
102788280	temamoo	Мы в Бангкоке
158041584	ezemtsov	Который?
